Player,deciles,variable,type_variable
F. Uduokhai,2,Penalties_won,Finishing
K. Jakić,17,xG per 90,Finishing
K. Jakić,35,xA per 90,Buildup
K. Jakić,29,Touches in box per 90,Chance creation
K. Jakić,30,Progressive runs per 90,Buildup
K. Jakić,20,Back passes per 90,Positioning
K. Jakić,82,Lateral passes per 90,Positioning
K. Jakić,43,"Average long pass length, m",Buildup
K. Jakić,45,Key passes per 90,Buildup
K. Jakić,23,Shots per 90,Positioning
K. Jakić,14,shots,Finishing
K. Jakić,81,Progressive passes per 90,Buildup
K. Jakić,69,Sliding tackles per 90,Defense
K. Jakić,83,Passes per 90,Buildup
K. Jakić,12,Fouls suffered per 90,Chance creation
K. Jakić,33,Dribbles per 90,Chance creation
K. Jakić,39,Successful_dribbles,Chance creation
K. Jakić,2,Penalties taken,Finishing
K. Jakić,2,Penalties_won,Finishing
S. Nsoki,49,xG per 90,Finishing
S. Nsoki,11,xA per 90,Buildup
S. Nsoki,24,Touches in box per 90,Chance creation
S. Nsoki,26,Progressive runs per 90,Buildup
S. Nsoki,20,Back passes per 90,Positioning
S. Nsoki,77,Lateral passes per 90,Positioning
S. Nsoki,75,"Average long pass length, m",Buildup
S. Nsoki,19,Key passes per 90,Buildup
S. Nsoki,29,Shots per 90,Positioning
S. Nsoki,21,shots,Finishing
S. Nsoki,94,Progressive passes per 90,Buildup
S. Nsoki,64,Sliding tackles per 90,Defense
S. Nsoki,83,Passes per 90,Buildup
S. Nsoki,21,Fouls suffered per 90,Chance creation
S. Nsoki,43,Dribbles per 90,Chance creation
S. Nsoki,56,Successful_dribbles,Chance creation
S. Nsoki,2,Penalties taken,Finishing
S. Nsoki,2,Penalties_won,Finishing
S. Bornauw,9,xG per 90,Finishing
S. Bornauw,1,xA per 90,Buildup
S. Bornauw,23,Touches in box per 90,Chance creation
S. Bornauw,4,Progressive runs per 90,Buildup
S. Bornauw,16,Back passes per 90,Positioning
S. Bornauw,88,Lateral passes per 90,Positioning
S. Bornauw,77,"Average long pass length, m",Buildup
S. Bornauw,1,Key passes per 90,Buildup
S. Bornauw,5,Shots per 90,Positioning
S. Bornauw,8,shots,Finishing
S. Bornauw,80,Progressive passes per 90,Buildup
S. Bornauw,36,Sliding tackles per 90,Defense
S. Bornauw,82,Passes per 90,Buildup
S. Bornauw,11,Fouls suffered per 90,Chance creation
S. Bornauw,4,Dribbles per 90,Chance creation
S. Bornauw,4,Successful_dribbles,Chance creation
S. Bornauw,2,Penalties taken,Finishing
S. Bornauw,2,Penalties_won,Finishing
T. Hübers,43,xG per 90,Finishing
T. Hübers,1,xA per 90,Buildup
T. Hübers,17,Touches in box per 90,Chance creation
T. Hübers,12,Progressive runs per 90,Buildup
T. Hübers,25,Back passes per 90,Positioning
T. Hübers,95,Lateral passes per 90,Positioning
T. Hübers,82,"Average long pass length, m",Buildup
T. Hübers,1,Key passes per 90,Buildup
T. Hübers,21,Shots per 90,Positioning
T. Hübers,18,shots,Finishing
T. Hübers,80,Progressive passes per 90,Buildup
T. Hübers,20,Sliding tackles per 90,Defense
T. Hübers,88,Passes per 90,Buildup
T. Hübers,30,Fouls suffered per 90,Chance creation
T. Hübers,7,Dribbles per 90,Chance creation
T. Hübers,8,Successful_dribbles,Chance creation
T. Hübers,2,Penalties taken,Finishing
T. Hübers,2,Penalties_won,Finishing
H. Ito,9,xG per 90,Finishing
H. Ito,53,xA per 90,Buildup
H. Ito,10,Touches in box per 90,Chance creation
H. Ito,35,Progressive runs per 90,Buildup
H. Ito,54,Back passes per 90,Positioning
H. Ito,94,Lateral passes per 90,Positioning
H. Ito,100,"Average long pass length, m",Buildup
H. Ito,19,Key passes per 90,Buildup
H. Ito,37,Shots per 90,Positioning
H. Ito,30,shots,Finishing
H. Ito,99,Progressive passes per 90,Buildup
H. Ito,74,Sliding tackles per 90,Defense
H. Ito,96,Passes per 90,Buildup
H. Ito,29,Fouls suffered per 90,Chance creation
H. Ito,19,Dribbles per 90,Chance creation
H. Ito,25,Successful_dribbles,Chance creation
H. Ito,2,Penalties taken,Finishing
H. Ito,2,Penalties_won,Finishing
P. Jaeckel,3,xG per 90,Finishing
P. Jaeckel,1,xA per 90,Buildup
P. Jaeckel,1,Touches in box per 90,Chance creation
P. Jaeckel,30,Progressive runs per 90,Buildup
P. Jaeckel,8,Back passes per 90,Positioning
P. Jaeckel,74,Lateral passes per 90,Positioning
P. Jaeckel,72,"Average long pass length, m",Buildup
P. Jaeckel,1,Key passes per 90,Buildup
P. Jaeckel,2,Shots per 90,Positioning
P. Jaeckel,7,shots,Finishing
P. Jaeckel,78,Progressive passes per 90,Buildup
P. Jaeckel,94,Sliding tackles per 90,Defense
P. Jaeckel,64,Passes per 90,Buildup
P. Jaeckel,1,Fouls suffered per 90,Chance creation
P. Jaeckel,11,Dribbles per 90,Chance creation
P. Jaeckel,11,Successful_dribbles,Chance creation
P. Jaeckel,2,Penalties taken,Finishing
P. Jaeckel,2,Penalties_won,Finishing
M. Friedl,9,xG per 90,Finishing
M. Friedl,20,xA per 90,Buildup
M. Friedl,5,Touches in box per 90,Chance creation
M. Friedl,13,Progressive runs per 90,Buildup
M. Friedl,36,Back passes per 90,Positioning
M. Friedl,91,Lateral passes per 90,Positioning
M. Friedl,97,"Average long pass length, m",Buildup
M. Friedl,19,Key passes per 90,Buildup
M. Friedl,6,Shots per 90,Positioning
M. Friedl,18,shots,Finishing
M. Friedl,93,Progressive passes per 90,Buildup
M. Friedl,74,Sliding tackles per 90,Defense
M. Friedl,89,Passes per 90,Buildup
M. Friedl,36,Fouls suffered per 90,Chance creation
M. Friedl,22,Dribbles per 90,Chance creation
M. Friedl,21,Successful_dribbles,Chance creation
M. Friedl,2,Penalties taken,Finishing
M. Friedl,2,Penalties_won,Finishing
M. Hummels,56,xG per 90,Finishing
M. Hummels,41,xA per 90,Buildup
M. Hummels,40,Touches in box per 90,Chance creation
M. Hummels,63,Progressive runs per 90,Buildup
M. Hummels,11,Back passes per 90,Positioning
M. Hummels,100,Lateral passes per 90,Positioning
M. Hummels,80,"Average long pass length, m",Buildup
M. Hummels,26,Key passes per 90,Buildup
M. Hummels,37,Shots per 90,Positioning
M. Hummels,59,shots,Finishing
M. Hummels,86,Progressive passes per 90,Buildup
M. Hummels,96,Sliding tackles per 90,Defense
M. Hummels,97,Passes per 90,Buildup
M. Hummels,24,Fouls suffered per 90,Chance creation
M. Hummels,18,Dribbles per 90,Chance creation
M. Hummels,18,Successful_dribbles,Chance creation
M. Hummels,3,Penalties taken,Finishing
M. Hummels,3,Penalties_won,Finishing
A. Pieper,17,xG per 90,Finishing
A. Pieper,11,xA per 90,Buildup
A. Pieper,35,Touches in box per 90,Chance creation
A. Pieper,45,Progressive runs per 90,Buildup
A. Pieper,45,Back passes per 90,Positioning
A. Pieper,84,Lateral passes per 90,Positioning
A. Pieper,59,"Average long pass length, m",Buildup
A. Pieper,36,Key passes per 90,Buildup
A. Pieper,22,Shots per 90,Positioning
A. Pieper,17,shots,Finishing
A. Pieper,88,Progressive passes per 90,Buildup
A. Pieper,86,Sliding tackles per 90,Defense
A. Pieper,83,Passes per 90,Buildup
A. Pieper,28,Fouls suffered per 90,Chance creation
A. Pieper,9,Dribbles per 90,Chance creation
A. Pieper,7,Successful_dribbles,Chance creation
A. Pieper,3,Penalties taken,Finishing
A. Pieper,3,Penalties_won,Finishing
M. Jenz,60,xG per 90,Finishing
M. Jenz,1,xA per 90,Buildup
M. Jenz,42,Touches in box per 90,Chance creation
M. Jenz,21,Progressive runs per 90,Buildup
M. Jenz,13,Back passes per 90,Positioning
M. Jenz,74,Lateral passes per 90,Positioning
M. Jenz,90,"Average long pass length, m",Buildup
M. Jenz,1,Key passes per 90,Buildup
M. Jenz,37,Shots per 90,Positioning
M. Jenz,33,shots,Finishing
M. Jenz,66,Progressive passes per 90,Buildup
M. Jenz,62,Sliding tackles per 90,Defense
M. Jenz,58,Passes per 90,Buildup
M. Jenz,7,Fouls suffered per 90,Chance creation
M. Jenz,5,Dribbles per 90,Chance creation
M. Jenz,6,Successful_dribbles,Chance creation
M. Jenz,3,Penalties taken,Finishing
M. Jenz,3,Penalties_won,Finishing
N. Stark,1,xG per 90,Finishing
N. Stark,11,xA per 90,Buildup
N. Stark,6,Touches in box per 90,Chance creation
N. Stark,35,Progressive runs per 90,Buildup
N. Stark,10,Back passes per 90,Positioning
N. Stark,92,Lateral passes per 90,Positioning
N. Stark,72,"Average long pass length, m",Buildup
N. Stark,32,Key passes per 90,Buildup
N. Stark,1,Shots per 90,Positioning
N. Stark,7,shots,Finishing
N. Stark,92,Progressive passes per 90,Buildup
